[2025-07-26 11:44:43,561] [ERROR] POST /auth/refresh-token → 403: Not authenticated
[2025-07-26 11:52:10,028] [ERROR] GET /whoami → 404: Not Found
[2025-07-26 11:58:58,287] [ERROR] ❌ Invalid refresh token attempt: dde1680a-255b-4436-aa89-bc5b052524e7
[2025-07-26 11:58:58,287] [ERROR] POST /auth/refresh-token → 401: Invalid or expired refresh token
[2025-07-26 12:08:07,267] [ERROR] GET /auth/whoami → 403: Not authenticated
[2025-07-26 12:08:07,283] [ERROR] ⛔ Access token decoding failed.
[2025-07-26 12:08:07,284] [ERROR] GET /auth/whoami → 401: Invalid access token
[2025-07-26 12:12:23,421] [ERROR] 🚫 Access denied – 'ashketchum' attempted 'admin' access
[2025-07-26 12:12:23,421] [ERROR] POST /pokemon/ → 403: Forbidden: You are not authorized
[2025-07-26 12:12:23,764] [ERROR] GET /pokemon/ → 403: Not authenticated
[2025-07-26 12:12:23,797] [ERROR] GET /pokemon/type/Fire → 404: Not Found
[2025-07-26 12:12:23,854] [ERROR] PATCH /pokemon/info/1 → 404: Not Found
[2025-07-26 12:12:23,898] [ERROR] 🚫 Access denied – 'ashketchum' attempted 'admin' access
[2025-07-26 12:12:23,899] [ERROR] DELETE /pokemon/1 → 403: Forbidden: You are not authorized
[2025-07-26 12:29:09,021] [ERROR] 🚫 Access denied – 'ashketchum' attempted 'admin' access
[2025-07-26 12:29:09,021] [ERROR] POST /pokemon/ → 403: Forbidden: You are not authorized
[2025-07-26 12:29:09,398] [ERROR] GET /pokemon/ → 403: Not authenticated
[2025-07-26 12:29:09,427] [ERROR] GET /pokemon/type/Fire → 404: Not Found
[2025-07-26 12:29:09,496] [ERROR] PATCH /pokemon/info/1 → 404: Not Found
[2025-07-26 12:29:09,555] [ERROR] 🚫 Access denied – 'ashketchum' attempted 'admin' access
[2025-07-26 12:29:09,555] [ERROR] DELETE /pokemon/1 → 403: Forbidden: You are not authorized
[2025-07-26 13:05:18,320] [ERROR] POST /login → 404: Not Found
[2025-07-26 13:05:18,726] [ERROR] POST /login → 404: Not Found
[2025-07-26 13:05:18,757] [ERROR] POST /login → 404: Not Found
[2025-07-26 13:05:18,788] [ERROR] POST /login → 404: Not Found
[2025-07-26 13:05:18,820] [ERROR] POST /login → 404: Not Found
[2025-07-26 13:08:23,514] [ERROR] ❌ Login failed for user 'ashketchum' – Invalid credentials
[2025-07-26 13:08:23,514] [ERROR] POST /auth/login → 401: Invalid credentials
[2025-07-26 13:08:23,733] [ERROR] ❌ Login failed for user 'ashketchum' – Invalid credentials
[2025-07-26 13:08:23,733] [ERROR] POST /auth/login → 401: Invalid credentials
[2025-07-26 13:08:23,756] [ERROR] ❌ Login failed for user 'ashketchum' – Invalid credentials
[2025-07-26 13:08:23,757] [ERROR] POST /auth/login → 401: Invalid credentials
[2025-07-26 13:08:23,788] [ERROR] ❌ Login failed for user 'ashketchum' – Invalid credentials
[2025-07-26 13:08:23,788] [ERROR] POST /auth/login → 401: Invalid credentials
[2025-07-26 13:08:23,829] [ERROR] ❌ Login failed for user 'ashketchum' – Invalid credentials
[2025-07-26 13:08:23,829] [ERROR] POST /auth/login → 401: Invalid credentials
[2025-07-26 13:09:39,785] [ERROR] ❌ Add failed by ashketchum – ID 25 not in Pokédex
[2025-07-26 13:09:39,785] [ERROR] POST /team/25 → 404: Invalid ID 25! Pokémon not found in Pokédex.
[2025-07-26 13:09:40,078] [ERROR] ❌ Remove failed by ashketchum – ID 25 not in team
[2025-07-26 13:09:40,078] [ERROR] DELETE /team/25 → 404: Cannot remove! Pokémon ID 25 is not in your team.
[2025-07-26 13:09:40,152] [ERROR] ❌ Add failed by ashketchum – ID 7 already in team
[2025-07-26 13:09:40,152] [ERROR] POST /team/7 → 409: Invalid ID 7! Pokémon already in the team.
[2025-07-26 13:09:40,188] [ERROR] ❌ Remove failed by ashketchum – ID 150 not in team
[2025-07-26 13:09:40,189] [ERROR] DELETE /team/150 → 404: Cannot remove! Pokémon ID 150 is not in your team.
[2025-07-26 13:13:09,296] [ERROR] ❌ Add failed by ashketchum – ID 1 already in team
[2025-07-26 13:13:09,297] [ERROR] POST /team/1 → 409: Invalid ID 1! Pokémon already in the team.
[2025-07-26 13:13:09,328] [ERROR] ❌ Remove failed by ashketchum – ID 999 not in team
[2025-07-26 13:13:09,328] [ERROR] DELETE /team/999 → 404: Cannot remove! Pokémon ID 999 is not in your team.
[2025-07-26 13:23:14,017] [ERROR] POST /upload/csv → 400: ❌ File type '.txt' not allowed. Must be CSV or image only.
[2025-07-26 13:23:14,080] [ERROR] ❌ File 'corrupt.csv' is not valid UTF-8. Uploaded by professoroak
[2025-07-26 13:23:14,081] [ERROR] POST /upload/csv → 400: ❌ Invalid encoding. Only UTF-8 CSV files are allowed.
[2025-07-26 13:23:14,123] [ERROR] 🚫 Access denied – 'ashketchum' attempted 'admin' access
[2025-07-26 13:23:14,123] [ERROR] POST /upload/csv → 403: Forbidden: You are not authorized
[2025-07-26 13:24:58,267] [ERROR] POST /upload/csv → 400: ❌ File type '.txt' not allowed. Must be CSV or image only.
[2025-07-26 13:24:58,298] [ERROR] ❌ File 'corrupt.csv' is not valid UTF-8. Uploaded by professoroak
[2025-07-26 13:24:58,298] [ERROR] POST /upload/csv → 400: ❌ Invalid encoding. Only UTF-8 CSV files are allowed.
[2025-07-26 13:24:58,330] [ERROR] 🚫 Access denied – 'ashketchum' attempted 'admin' access
[2025-07-26 13:24:58,330] [ERROR] POST /upload/csv → 403: Forbidden: You are not authorized
[2025-07-26 13:28:46,035] [ERROR] POST /upload/csv-import → 403: Not authenticated
[2025-07-26 13:29:52,827] [ERROR] POST /upload/csv-import → 403: Not authenticated
[2025-07-26 20:47:34,790] [ERROR] POST /upload/csv-import → 403: Not authenticated
[2025-07-26 21:19:31,349] [ERROR] ⛔ Access token decoding failed.
[2025-07-26 21:19:31,349] [ERROR] POST /upload/image → 401: Invalid access token
[2025-07-26 21:19:31,799] [ERROR] ⛔ Access token decoding failed.
[2025-07-26 21:19:31,799] [ERROR] POST /upload/image → 401: Invalid access token
[2025-07-26 21:19:31,841] [ERROR] ⛔ Access token decoding failed.
[2025-07-26 21:19:31,841] [ERROR] POST /upload/image → 401: Invalid access token
[2025-07-26 21:21:02,955] [ERROR] ⛔ Access token decoding failed.
[2025-07-26 21:21:02,955] [ERROR] POST /upload/image → 401: Invalid access token
[2025-07-26 21:21:03,205] [ERROR] ⛔ Access token decoding failed.
[2025-07-26 21:21:03,205] [ERROR] POST /upload/image → 401: Invalid access token
